Sequence;MOTU_GMYCm
EU702007_Eubosmina_huaronensis;13
EU702008_Eubosmina_huaronensis;13
EU702009_Eubosmina_huaronensis;13
EU702010_Eubosmina_huaronensis;13
EU702011_Eubosmina_huaronensis;13
EU702012_Eubosmina_huaronensis;13
EU702013_Eubosmina_huaronensis;13
EU702014_Eubosmina_huaronensis;13
EU702015_Eubosmina_huaronensis;13
EU702016_Eubosmina_huaronensis;13
EU702017_Eubosmina_huaronensis;13
KC616786_Eubosmina_huaronensis;13
KC616791_Eubosmina_huaronensis;13
KC616793_Eubosmina_huaronensis;13
KC617500_Eubosmina_huaronensis;13
KC617501_Eubosmina_huaronensis;13
KC617502_Eubosmina_huaronensis;13
KC617503_Eubosmina_huaronensis;13
KC617504_Eubosmina_huaronensis;13
KC617505_Eubosmina_huaronensis;13
KC617506_Eubosmina_huaronensis;13
KC617507_Eubosmina_huaronensis;13
KC617508_Eubosmina_huaronensis;13
KC617509_Eubosmina_huaronensis;13
KC617510_Eubosmina_huaronensis;13
KC617511_Eubosmina_huaronensis;13
Liederobosmina_Mexico01b;13
Liederobosmina_Mexico01c;13
Liederobosmina_Mexico01d;13
Liederobosmina_Mexico01e;13
Liederobosmina_Mexico01f;13
Liederobosmina_Mexico01g;13
Liederobosmina_Mexico01h;13
Liederobosmina_Mexico04a;13
Liederobosmina_Mexico04b;13
Liederobosmina_Mexico04c;13
Liederobosmina_Mexico05a;13
Liederobosmina_Mexico05b;13
Liederobosmina_Mexico05c;13
Liederobosmina_Mexico05d;13
Liederobosmina_Mexico05e;13
Liederobosmina_Mexico06a;13
Liederobosmina_Mexico06c;13
Liederobosmina_Mexico07a;13
Liederobosmina_Mexico10b;13
Liederobosmina_Mexico11a;13
Liederobosmina_Mexico11b;13
Liederobosmina_Mexico11c;13
MG449420_Eubosmina_huaronensis;13
MG450143_Eubosmina_huaronensis;13
ZPII1067N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPII1068N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPII1454N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV506N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV507N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV508N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV509N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV515N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV601N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV602N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV603N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV604N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV610N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV690N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLIV750N11_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX146N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX147N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX148N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX240N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX401N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX402N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX403N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX404N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX405N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX406N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX407N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX849N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX850N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX851N06_B_huaronensis_Mexico_BOLD_AAB9669;13
ZPLMX852N06_B_huaronensis_Mexico_BOLD_AAB9669;13
KC616788_Eubosmina_huaronensis;14
KC616789_Eubosmina_huaronensis;14
KC616790_Eubosmina_huaronensis;14
KC616792_Eubosmina_huaronensis;14
Liederobosmina_cf_huaronensis_USA03a;14
Liederobosmina_cf_huaronensis_USA03b;14
